Epoch:14 | loss:1.09 | acc:0.5200 | prec0:0.4955 | prec1:0.4773 | prec2:0.5857 | recall0:0.6962  | recall1:0.3182 | recall2:0.5125
Epoch:15 | loss:1.14 | acc:0.5333 | prec0:0.4958 | prec1:0.5349 | prec2:0.6032 | recall0:0.7468  | recall1:0.3485 | recall2:0.4750
Epoch:16 | loss:0.90 | acc:0.5333 | prec0:0.5222 | prec1:0.4648 | prec2:0.6250 | recall0:0.5949  | recall1:0.5000 | recall2:0.5000
Epoch:17 | loss:0.96 | acc:0.5511 | prec0:0.5130 | prec1:0.5714 | prec2:0.6029 | recall0:0.7468  | recall1:0.3636 | recall2:0.5125
Epoch:18 | loss:1.02 | acc:0.5511 | prec0:0.5750 | prec1:0.4783 | prec2:0.5921 | recall0:0.5823  | recall1:0.5000 | recall2:0.5625
Epoch:19 | loss:1.06 | acc:0.5600 | prec0:0.5253 | prec1:0.5091 | prec2:0.6479 | recall0:0.6582  | recall1:0.4242 | recall2:0.5750
Epoch:20 | loss:0.97 | acc:0.5333 | prec0:0.5275 | prec1:0.4655 | prec2:0.5921 | recall0:0.6076  | recall1:0.4091 | recall2:0.5625
Epoch:21 | loss:0.96 | acc:0.5333 | prec0:0.4825 | prec1:0.5098 | prec2:0.6500 | recall0:0.6962  | recall1:0.3939 | recall2:0.4875
Epoch:22 | loss:1.34 | acc:0.5289 | prec0:0.4860 | prec1:0.5000 | prec2:0.6176 | recall0:0.6582  | recall1:0.3788 | recall2:0.5250
Epoch:23 | loss:0.85 | acc:0.4978 | prec0:0.4600 | prec1:0.4694 | prec2:0.5658 | recall0:0.5823  | recall1:0.3485 | recall2:0.5375
Epoch:24 | loss:0.98 | acc:0.5244 | prec0:0.4706 | prec1:0.5238 | prec2:0.6250 | recall0:0.7089  | recall1:0.3333 | recall2:0.5000
Epoch:25 | loss:0.89 | acc:0.5378 | prec0:0.4667 | prec1:0.6341 | prec2:0.6094 | recall0:0.7089  | recall1:0.3939 | recall2:0.4875
Epoch:26 | loss:1.06 | acc:0.5556 | prec0:0.5294 | prec1:0.5312 | prec2:0.6271 | recall0:0.6835  | recall1:0.5152 | recall2:0.4625
Epoch:27 | loss:1.16 | acc:0.5333 | prec0:0.4833 | prec1:0.6957 | prec2:0.5610 | recall0:0.7342  | recall1:0.2424 | recall2:0.5750
Epoch:28 | loss:0.93 | acc:0.5289 | prec0:0.4667 | prec1:0.5366 | prec2:0.6406 | recall0:0.7089  | recall1:0.3333 | recall2:0.5125
