Epoch:44 | loss:1.16 | acc:0.5022 | prec0:0.5362 | prec1:0.5606 | prec2:0.4333 | recall0:0.5211  | recall1:0.4625 | recall2:0.5270
Epoch:45 | loss:1.05 | acc:0.5067 | prec0:0.4831 | prec1:0.5902 | prec2:0.4667 | recall0:0.6056  | recall1:0.4500 | recall2:0.4730
Epoch:46 | loss:0.94 | acc:0.4978 | prec0:0.5441 | prec1:0.5176 | prec2:0.4306 | recall0:0.5211  | recall1:0.5500 | recall2:0.4189
Epoch:47 | loss:1.07 | acc:0.4756 | prec0:0.4719 | prec1:0.5342 | prec2:0.4127 | recall0:0.5915  | recall1:0.4875 | recall2:0.3514
Epoch:48 | loss:1.29 | acc:0.4711 | prec0:0.5283 | prec1:0.4900 | prec2:0.4028 | recall0:0.3944  | recall1:0.6125 | recall2:0.3919
Epoch:49 | loss:0.98 | acc:0.4400 | prec0:0.4407 | prec1:0.6333 | prec2:0.3636 | recall0:0.7324  | recall1:0.2375 | recall2:0.3784
0.46222222222222226
Epoch:0 | loss:1.12 | acc:0.3689 | prec0:nan | prec1:0.5370 | prec2:0.3158 | recall0:0.0000  | recall1:0.3625 | recall2:0.7297
Epoch:1 | loss:1.10 | acc:0.3600 | prec0:0.3810 | prec1:0.5714 | prec2:0.3161 | recall0:0.2254  | recall1:0.2000 | recall2:0.6622
Epoch:2 | loss:1.04 | acc:0.3422 | prec0:0.3393 | prec1:0.6087 | prec2:0.3014 | recall0:0.2676  | recall1:0.1750 | recall2:0.5946
Epoch:3 | loss:1.04 | acc:0.3244 | prec0:nan | prec1:0.4706 | prec2:0.2984 | recall0:0.0000  | recall1:0.2000 | recall2:0.7703
Epoch:4 | loss:1.27 | acc:0.3422 | prec0:0.2727 | prec1:0.5577 | prec2:0.2804 | recall0:0.2535  | recall1:0.3625 | recall2:0.4054
Epoch:5 | loss:1.08 | acc:0.4089 | prec0:0.5000 | prec1:0.5072 | prec2:0.3542 | recall0:0.0845  | recall1:0.4375 | recall2:0.6892
Epoch:6 | loss:1.34 | acc:0.3600 | prec0:0.3143 | prec1:0.4625 | prec2:0.2933 | recall0:0.3099  | recall1:0.4625 | recall2:0.2973
Epoch:7 | loss:1.04 | acc:0.4311 | prec0:0.4568 | prec1:0.6216 | prec2:0.3458 | recall0:0.5211  | recall1:0.2875 | recall2:0.5000
Epoch:8 | loss:0.91 | acc:0.4489 | prec0:0.3514 | prec1:0.4600 | prec2:0.5000 | recall0:0.1831  | recall1:0.8625 | recall2:0.2568
Epoch:9 | loss:1.09 | acc:0.3600 | prec0:0.3514 | prec1:0.4545 | prec2:0.2800 | recall0:0.1831  | recall1:0.5000 | recall2:0.3784
Epoch:10 | loss:1.01 | acc:0.4044 | prec0:0.3607 | prec1:0.5769 | prec2:0.3482 | recall0:0.3099  | recall1:0.3750 | recall2:0.5270
Epoch:11 | loss:1.01 | acc:0.3556 | prec0:0.2414 | prec1:0.4342 | prec2:0.3333 | recall0:0.0986  | recall1:0.4125 | recall2:0.5405
Epoch:12 | loss:1.17 | acc:0.4533 | prec0:0.4059 | prec1:0.5600 | prec2:0.3878 | recall0:0.5775  | recall1:0.5250 | recall2:0.2568
Epoch:13 | loss:1.14 | acc:0.3867 | prec0:0.2500 | prec1:0.4309 | prec2:0.3367 | recall0:0.0141  | recall1:0.6625 | recall2:0.4459
Epoch:14 | loss:1.12 | acc:0.3911 | prec0:0.3913 | prec1:0.4545 | prec2:0.3297 | recall0:0.2535  | recall1:0.5000 | recall2:0.4054
Epoch:15 | loss:0.92 | acc:0.4133 | prec0:0.3806 | prec1:0.5217 | prec2:0.2727 | recall0:0.7183  | recall1:0.4500 | recall2:0.0811
Epoch:16 | loss:1.10 | acc:0.3644 | prec0:0.3421 | prec1:0.4598 | prec2:0.2900 | recall0:0.1831  | recall1:0.5000 | recall2:0.3919
Epoch:17 | loss:1.07 | acc:0.4000 | prec0:0.3333 | prec1:0.4336 | prec2:0.3881 | recall0:0.2113  | recall1:0.6125 | recall2:0.3514
